	file_spec 2MASS_2MASS.H.dat	2MASS_2MASS.J.dat	2MASS_2MASS.Ks.dat	F378.dat	F395.dat	F410.dat	F430.dat	F515.dat	F660.dat	F861.dat	G.dat	I.dat	R.dat	U.dat	Z.dat	GAIA_GAIA2.G.dat	GAIA_GAIA2.Gbp.dat	GAIA_GAIA2.Grp.dat	GALEX_GALEX.FUV.dat	GALEX_GALEX.NUV.dat	WISE_WISE.W1.dat	WISE_WISE.W2.dat	WISE_WISE.W3.dat	WISE_WISE.W4.dat
Ech1.30Zm0.25T00.2500_iTp0.00_baseFe.txt	29.296278901045007	29.370860033059763	29.57362665481528	30.24569799451009	29.830666489621912	29.6435236455494	29.656215169568732	29.605776073820998	29.638136691344407	29.53716324976245	29.610476712021786	29.542082698698103	29.586250245169914	30.625995616968844	29.61322346218251	29.588178081003498	29.65994683030555	29.547524147886044	31.372323879020293	31.186628981289793	30.256650019315323	30.927211704925192	29.926713390901178	30.19441566078637
Ech1.30Zm0.25T00.3000_iTp0.00_baseFe.txt	29.391098809032336	29.472942705352985	29.662191610266056	30.430777741150315	30.004173449387842	29.80311454169418	29.81096814887281	29.74424217317017	29.770383999362288	29.6668318421192	29.755446262792184	29.670262406416022	29.71870268742591	30.81509569794475	29.727100374588282	29.721480166947522	29.801883630340747	29.673860250429946	31.69690028574039	31.474584741517695	30.341508592516043	31.00833968684406	30.005222295148933	30.318288550210717
Ech1.30Zm0.25T00.3500_iTp0.00_baseFe.txt	29.471258675081252	29.560890489996716	29.736726432981122	30.606031324791807	30.156204449755784	29.940228055338558	29.944914470342475	29.869008080697817	29.889495562596174	29.782922282890205	29.88474165426137	29.784666073926594	29.839012562248833	31.0116931994662	29.82733533432144	29.841175148005966	29.930443902416165	29.78640474841354	32.00060753824631	31.75758060641136	30.413797584933043	31.078652127313696	30.07676477542696	30.42698221671406
Ech1.30Zm0.25T00.4000_iTp0.00_baseFe.txt	29.542967901040235	29.646919457871853	29.797765312110833	30.752227191465927	30.290898309243467	30.063196742736103	30.062530105487916	29.9777690672094	29.993866831958208	29.880880921868574	29.997818481168714	29.88294240607589	29.94401695496739	31.1738162278722	29.91789711322813	29.945671834545415	30.04218927763538	29.885480138897826	32.22499806271252	31.9711758962928	30.47163651014143	31.136577270778567	30.13563249550142	30.51822457530495
Ech1.30Zm0.25T00.4500_iTp0.00_baseFe.txt	29.625529682842178	29.718893335850545	29.888851970637496	30.862375583636073	30.401881236994107	30.164449466678086	30.160627549968204	30.06565422436038	30.069820435748092	29.954554481370344	30.089491072991386	29.956638051974927	30.022807236061077	31.286626242184674	29.993117022144908	30.025743359429917	30.129817951004277	29.958585676684912	32.410164232928686	32.17769312653683	30.576633410995747	31.244444988152758	30.2444967718506	30.611502262301336
Ech1.30Zm0.25T00.5000_iTp0.00_baseFe.txt	29.667782694452548	29.753180045484036	29.935659215005053	31.00849953577623	30.539449611015918	30.28070416415678	30.26987176543286	30.148574568433908	30.137832073550094	30.014424254660774	30.184368215890608	30.017694888895115	30.093318523966595	31.444670984186793	30.04058722369816	30.097398029701928	30.217219662714406	30.016647093359502	32.56901108481997	32.33475678979831	30.63347591023038	31.30260380345164	30.30498629048926	30.674121255938694
Ech1.30Zm0.25T00.6000_iTp0.00_baseFe.txt	29.750232195958226	29.838881257292023	30.015375569173393	31.216017785424533	30.768445337214494	30.482074858319244	30.459982586406348	30.301963746950257	30.263204410618947	30.11844895267668	30.352110489154747	30.133298815769173	30.223472580003808	31.641470343401117	30.134659091835694	30.229059225105154	30.37085914750275	30.129242058416388	32.84745209876859	32.63584212976611	30.71413015717578	31.37850330790169	30.380102078215806	30.78216961450459
Ech1.30Zm0.25T00.7000_iTp0.00_baseFe.txt	29.801851502307947	29.901083911913197	30.06282005081342	31.39864056113904	30.973791548163057	30.66640855954737	30.635155384497956	30.4404200394303	30.359266069049887	30.20220573891651	30.505000136864787	30.221372740486935	30.328951176597023	31.818975982704806	30.20685929483826	30.337624588968275	30.505569808820105	30.21609820154037	33.1233831208957	32.90846531408051	30.763488855795394	31.427178034187726	30.429841440690318	30.86291912914097
Ech1.30Zm0.25T00.8000_iTp0.00_baseFe.txt	29.877082261832747	29.975880262136393	30.140167054150943	31.559583923094344	31.159370583004467	30.835669003669103	30.79354159258539	30.565024339527035	30.444770749692772	30.27939220024971	30.641847962165095	30.302016113779608	30.423954645605683	31.965730075694772	30.284188313930507	30.436076097962705	30.625699160691518	30.297065071864118	33.306175550631856	33.09394561927379	30.84533246613639	31.51022573314902	30.509349449704793	30.952167031792193
Ech1.30Zm0.25T00.9000_iTp0.00_baseFe.txt	29.911709694562283	30.001934331425524	30.182728784438417	31.71901382179609	31.343488781454845	30.99550027211668	30.940004327765983	30.669076954569356	30.506665735610078	30.327521102588584	30.760825811761187	30.35656390604327	30.49443662816818	32.11100203056416	30.32219216912727	30.508440662030104	30.725009318368457	30.34790739766077	33.419354220179905	33.26786028363659	30.89546407485647	31.561891439615557	30.558615231146725	31.005992192143275
