	file_spec 2MASS_2MASS.H.dat	2MASS_2MASS.J.dat	2MASS_2MASS.Ks.dat	F378.dat	F395.dat	F410.dat	F430.dat	F515.dat	F660.dat	F861.dat	G.dat	I.dat	R.dat	U.dat	Z.dat	GAIA_GAIA2.G.dat	GAIA_GAIA2.Gbp.dat	GAIA_GAIA2.Grp.dat	GALEX_GALEX.NUV.dat	WISE_WISE.W1.dat	WISE_WISE.W2.dat	WISE_WISE.W3.dat	WISE_WISE.W4.dat
a0i.sed		21.91618376552082		21.461514350309663	21.245747208432157	21.217371586808177	21.250668900926662	21.299425156957362	21.529427965468976	21.684477973010054	21.273026094171577	21.648375028588184	21.47334994737465	22.161105770329748	21.726345801959518	21.48220196593595	21.391219630398062	21.637214691763823	23.29789130273449	21.95362968564657	21.95362968564657	21.95362968564657	21.95362968564657
f0i.sed		21.611164129882575		22.06718304125291	21.749306963131993	21.467905414914078	21.468093508953892	21.369000570215185	21.451607533534236	21.451877764960777	21.403028686304417	21.449801410678866	21.40630036667013	23.05822320751887	21.461729457159826	21.435432513300434	21.479184223293778	21.445043255920247	25.258413807002576	22.069345530098595	22.069345530098595	22.069345530098595	22.069345530098595
